noir de carbone,black carbon
océan,ocean
offre et la demande,supply and demand
onde de tempête,storm surge
opinion publique,public opinion
options d'adaptation,adaptation options
options de gestion,management options
Ours polaires,polar bears
oxyde,oxide
oxygène,oxygen
ozone stratosphérique,stratospheric ozone
paramètres du modèle,model parameters
pêche,fisheries
pénurie d'eau,water shortage
pénurie d'eau,water scarcity
perception du changement climatique,climate change perceptions
perception du risque,risk perception
performance du modèle,model performance
performance environnementale,environmental performance
pergélisol,permafrost
périodes chaudes,warm periods
périodes de sécheresse,drought periods
périodicité,return period
perte d'habitat,habitat loss
perte de carbone,carbon loss
perte de masse,mass loss
perte en eau,water loss
pertes de rendement,yield losses
petites îles,small islands
peuplements forestiers,forest stands
phénologie,phenology
phénologie de la végétation,vegetation phenology
phosphore,phosphorus
photosynthèse,photosynthesis
physiologie,physiology
phytoplancton,phytoplankton
pin,pine
plancton,plankton
planification de la gestion,management planning
plante hôte,host plant
plantes envahissantes,invasive plants
plantes types fonctionnels,plant functional types
plantes vasculaires,vascular plants
plasticité phénotypique,phenotypic plasticity
plate-forme continentale,continental shelf
pointes d'écoulement ,peak flows
poissons de récif,reef fish
politique climatique,climate policy
politique d'adaptation,adaptation policy
politique énergétique,energy policy
politique environnementale,environmental policy
politiques d'atténuation,mitigation policies
politiques de gestion,management policies
pollen,pollen
pollinisateur,pollinator
polluants,pollutants
polluants atmosphériques,air pollutants
pollution,pollution
pomme de terre,potato
populations naturelles,natural populations
potentiel d'atténuation,mitigation potential
potentiel de réchauffement,warming potential
potentiel de réchauffement planétaire,global warming potential
potentiel de rendement,yield potential
potentiel hydrique,water potential
prairie alpine,alpine meadow
prairies alpines,alpine grasslands
pratiques de gestion,management practices
précipitation,precipitation
précipitations,precipitation events
précipitations annuelles,annual precipitation
précipitations estivales,summer precipitation
précipitations extrêmes,precipitation extremes
prédateurs,predators
prédictions des modèles,model predictions
prévisions climatiques,climate predictions
prise de décision,decision making
prix du carbone,carbon price
processus décisionnels,decision-making processes
processus écosystémiques,ecosystem processes
processus hydrologiques,hydrological processes
production agricole,agricultural production
production agricole,crop production
production alimentaire,food production
production d'électricité,electricity generation
production d'énergie,power generation
production d'énergie,energy production
production de bétail,livestock production
production de blé,wheat production
production de la biomasse,biomass production
production de riz,rice production
production primaire,primary production
production primaire nette,net primary production
productivité primaire nette,net primary productivity
produit intérieur brut,gross domestic product
profondeur de l'eau,water depth
profondeur de la neige,snow depth
profondeur du sol,soil depth
projections climatiques,climate projections
projections de changement climatique,climate change projections
projections des modèles,model projections
propriétés du sol,soil properties
protection environementale,environmental protection
protéines de choc thermique,heat shock protein
protoxyde d'azote,nitrous oxide
pucerons,aphid
puits de carbone,carbon sink
pyrolyse,pyrolysis
qualité d'eau,water quality
qualité de l'air,air quality
qualité de l'habitat,habitat suitability
quantité total de phosphore,total phosphorus
radiation,radiation
radiation solaire,solar radiation
radiocarbone,radiocarbon
ravitaillement,food supply
recharge des eaux souterraines,groundwater recharge
réchauffement climatique,Global warming
réchauffement climatique,climate warming
réchauffement de l'océan,ocean warming
réchauffement de la surface,surface warming
réchauffement expérimental,experimental warming
récifs coralliens,Coral reefs
récoltes,crop
réduction d'échelle statistique,statistical downscaling
réduction des émissions,emission reduction
réduction des risques,risk reduction
réflectance,reflectance
refuges,refugia
régime hydrologique,hydrological regime
régimes d'écoulement,flow regimes
régimes de perturbation,disturbance regimes
régimes de précipitations,precipitation regimes
régimes de température,temperature regimes
régimes thermiques,thermal regimes
régions arides,arid regions
régions côtières,coastal regions
rendement du blé,wheat yield
rendement du maïs,maize yield
rendement en grains,grain yield
rendements des cultures,crop yields
répartition des espèces,Species distribution
Répartition géographique,geographic distribution
réponse au stress,stress response
réponse du climat,climate response
réponses de la végétation,vegetation responses
réponses des espèces,species responses
réponses des plantes,plant responses
réponses physiologiques,physiological responses
réserve d'énergie,energy supply
résolution spatiale,spatial resolution
respiration de l'écosystème,ecosystem respiration
respiration du sol,soil respiration
ressources en eau,water resources
ressources en eau souterraine,groundwater resources
ressources énergétiques,energy resources
ressources naturelles,natural resources
résultats du modèle,model outputs
retroaction positive,positive feedback
richesse en espèces,Species richness
risque d'extinction,extinction risk
risque de sécheresse,drought risk
risques climatiques,climate risks
risques d'inondation,flood risk
risques de catastrophe,disaster risk
risques liés au changement,change risks
risques liés au changement climatique,climate change risks
risques pour la santé,health risks
ruissellement annuel,annual runoff
ruissellement de surface,surface runoff
salinité,salinity
santé humaine,human health
santé publique,public health
Scénario A2,A2 scenario
scénario de réchauffement,warming scenario
scénario RCP,representative concentration pathways
scénarios climatiques,climate scenarios
scénarios d'émissions,emission scenarios
scénarios de changement,change scenarios
scénarios de changement climatique,future climate change scenarios
scénarios de changement climatique,climate change scenarios
sécheresse extrême,extreme drought
secteur privé,private sector
sécurité alimentaire,food security
sécurité de l'eau,water security
sécurité énergétique,energy security
sensibilité à la température,temperature sensitivity
sensibilité du climat,climate sensitivity
séquestration du carbone,carbon sequestration
séries de données,data series
services écosystémiques,ecosystem services
sévérité de la sécheresse,drought severity
sex-ratio,sex ratio
simulateurs météorologiques,weather generator
simulations climatiques,climate simulations
simulations des modèles climatiques,climate model simulations
sites forestiers,forest sites
sol minéral,mineral soil
sols agricoles,agricultural soils
sols forestiers,forest soils
sorgho,sorghum
source de carbone,carbon source
sources d'eau,water sources
sources d'énergie,energy sources
sources d'énergie renouvelables,renewable energy sources
sources d'incertitude,sources of uncertainty
sous-bassins,sub-basins
stades de la vie,life stages
stations météorologiques,meteorological stations
stations météorologiques,weather stations
stockage de l'eau,water storage
stockage du carbone,carbon storage
stocks de carbone,carbon stocks
stratégies d'adaptation au changement climatique,climate change adaptation strategies
stratégies d'atténuation,mitigation strategies
stratégies de conservation,conservation strategies
stratosphère,stratosphere
stress de température,temperature stress
stress dû à la sécheresse,drought stress
stress dû au vent,wind stress
stress hydrique,water stress
stress oxydatif,oxidative stress
stress thermique,heat stress
structure de la forêt,forest structure
structure de la population,population structure
structure génétique,genetic structure
succès de la reproduction,reproductive success
surface de la mer,sea surface
surface des terre,land area
surface des terres,Land surface
surface du sol,soil surface
surface foliaire,leaf area
symbiote,symbiont
système d'aide à la décision,decision support system
Système d'alimentation,food system
système d'information ,information system
système d'information géographique,geographic information system
système de la Terre,Earth system
système de soutien,support system
système énergétique,energy system
systèmes agricoles,farming systems
systèmes de gestion,management systems
systèmes de production,production systems
systèmes fluviaux,river systems
systèmes socio-écologiques,social-ecological systems
taille de la population,population size
taux de croissance,growth rates
taux de croissance,growth responses
taux de croissance de la population,population growth rate
taux de décomposition,decomposition rates
taux de photosynthèse,photosynthetic rate
taux de respiration,respiration rates
taux de survie,survival rates
taux métabolique,metabolic rate
taxes sur le carbone,carbon taxes
technologies de l'énergie,energy technologies
température ambiante,ambient temperature
température annuelle,annual temperature
température de l'air,air temperature
température de l'air de surface,surface air temperature
température de l'eau,water temperature
température de l'eau de mer,seawater temperature
température de l'environnement,environmental temperature
température de surface,surface temperature
température de surface de la mer,sea surface temperature
température de surface de la terre,land surface temperature
température du courant,stream temperature
température du sol,soil temperature
température élevée,elevated temperature
température et CO2,temperature and CO2
température et précipitations,temperature and precipitation
température maximale,maximum temperature
température minimale,minimum temperature
température moyenne,mean temperature
température saisonnière,seasonal temperature
températures extrêmes,temperature extremes
températures plus chaudes,warmer temperatures
tendance au réchauffement,warming trend
tendances de la température,temperature trends
tendances démographiques,population trends
teneur en eau,water content
teneur en eau du sol,soil water content
teneur en humidité,moisture content
thermocline,thermocline
tolérance à la chaleur,heat tolerance
tolérance à la sécheresse,drought tolerance
tolérance au froid,cold tolerance
tolérance thermique,thermal tolerance
toundra,tundra
traitement des eaux,water treatment
traits d'histoire de vie,life-history traits
traits fonctionnels,functional traits
transport des sédiments,sediment transport
types de couverture terrestre,land cover types
types de forêts,forest types
types de sols,soil types
types de végétation,vegetation types
utilisation de l'eau,water use
utilisation des ressources,resource use
utilisation des terres,Land use
utilisation des terres,Land use changes
vagues de chaleur,heat waves
vapeur d'eau,water vapor
variabilité de la température,temperature variability
variabilité du climat,climate variability
variabilité environnementale,environmental variability
variabilité interannuelle,interannual variability
variabilité naturelle,natural variability
variables climatiques,climatic variables
variables météorologiques,meteorological variables
variation de la température,temperature variation
variation environnementale,environmental variation
variation génétique,genetic variation
viabilité des populations,population viability
vingt et unième siècle,twenty-first century
vitesse du vent,wind speed
voies de concentration,concentration pathways
vulnérabilité au changement climatique,climate change vulnerability
vulnérabilité sociale,social vulnerability
XXe siècle,twentieth century
zone basale,basal area
zone côtière,coastal zone
zone metropolitaine,metropolitan area
zones côtières,coastal areas
zones humides côtières,coastal wetlands
zones rurales,rural areas
zones urbaines,urban areas
zooplancton,zooplankton
